id,created_at,lang,source,like,retweet,hashtags0,hashtags1,hashtags2
1544328632826568708,2022-07-05 14:33,fr,Twitter for Android,0,0,Covid_19,COVID19,
1544328423438417920,2022-07-05 14:32,fr,Echobox,2,2,Covid19,,
1544328420049444865,2022-07-05 14:32,fr,Wildmoka,0,0,DirectAN,COVID19,
1544327876002062337,2022-07-05 14:30,fr,Twitter Web App,2,1,DirectAN,,PassVaccinal
1544327752488308738,2022-07-05 14:30,fr,Hootsuite Inc.,0,0,COVID19,,
1544327749950660610,2022-07-05 14:30,fr,Twitter Web App,0,0,Algérie,,
1544327743554338818,2022-07-05 14:30,fr,Swello,0,0,Covid19,,
1544327508341956611,2022-07-05 14:29,fr,Twitter Web App,0,0,Algérie,,
1544327111749632000,2022-07-05 14:27,fr,Twitter Web App,0,0,Algérie,,
1544326983999438848,2022-07-05 14:26,fr,Twitter Web App,0,0,COVID19,,FrancoisBraun
1544326881729806337,2022-07-05 14:26,fr,Twitter for iPhone,1,0,covid19,,
1544326863593644032,2022-07-05 14:26,fr,Wildmoka,11,5,DirectAN,COVID19,
1544326788091895809,2022-07-05 14:26,fr,Twitter Web App,0,0,Algérie,,
1544326533229191169,2022-07-05 14:25,fr,Twitter for iPhone,0,0,Covid19,,
1544326469459099648,2022-07-05 14:24,fr,Echobox,1,1,Covid19,François,
1544326448273563650,2022-07-05 14:24,fr,TweetDeck,2,0,COVID19,,
1544326351070629889,2022-07-05 14:24,fr,Twitter Web App,0,0,Algérie,,
1544326261258043393,2022-07-05 14:24,fr,Twitter for iPhone,0,0,COVID19,,France
1544326177606729728,2022-07-05 14:23,fr,Wildmoka,1,3,DirectAN,COVID19,
1544326017711472641,2022-07-05 14:23,fr,Twitter Web App,0,0,Algérie,,
1544325978926616578,2022-07-05 14:23,fr,TweetDeck,109,9,COVID19,,France
1544325880922742786,2022-07-05 14:22,fr,Twitter for iPhone,0,0,COVID19,,
1544325813058797568,2022-07-05 14:22,fr,Twitter for Android,1,0,COVID19,,
1544325675347238918,2022-07-05 14:21,fr,Wildmoka,3,2,DirectAN,COVID19,
1544324916371230721,2022-07-05 14:18,fr,Twitter for Android,3,2,loicovid,,PassSanitaire
1544324564309639169,2022-07-05 14:17,fr,Twitter for iPhone,0,0,COVID19,,
1544324423498563591,2022-07-05 14:16,fr,Wildmoka,2,2,DirectAN,COVID19,
1544324231252549638,2022-07-05 14:16,fr,Twitter Web App,0,1,DirectAN,COVID19,
1544323761343807489,2022-07-05 14:14,fr,Twitter Web App,0,0,Algérie,,
1544323750417555456,2022-07-05 14:14,fr,Twitter Web App,0,0,Covid19,,
1544323572037976064,2022-07-05 14:13,fr,Twitter for Android,0,1,Covid_19,,
1544323436293529604,2022-07-05 14:12,fr,Wildmoka,24,14,DirectAN,COVID19,
1544323293255278594,2022-07-05 14:12,fr,Twitter Web App,7,0,Covid_19,COVID19,
1544323261298884609,2022-07-05 14:12,fr,Twitter Web App,0,0,Algérie,,
1544323148421763078,2022-07-05 14:11,fr,Twitter Web App,0,0,DirectAN,COVID19,
1544323095409971201,2022-07-05 14:11,fr,Twitter for Android,0,0,COVID19,,Elysee
1544323012408889344,2022-07-05 14:11,fr,Echobox,1,0,COVID19,,
1544322808263622659,2022-07-05 14:10,fr,Twitter Web App,0,0,Algérie,,
1544322702206550018,2022-07-05 14:09,fr,Twitter for Android,0,0,Covid_19,,
1544322432974131203,2022-07-05 14:08,fr,Twitter Web App,0,0,DirectAN,COVID19,
1544322393224744960,2022-07-05 14:08,fr,Twitter Web App,7,2,ALERTEINFO,,Braun
1544322221321195520,2022-07-05 14:08,fr,TweetDeck,4,1,COVID19,,
1544322153553838081,2022-07-05 14:07,fr,Twitter Web App,0,0,COVID19,,
1544322087334060032,2022-07-05 14:07,fr,Twitter for Android,5,2,FDA,,Pfizer
1544322068178665477,2022-07-05 14:07,fr,Nonli,0,0,covid19,,
1544322064538116096,2022-07-05 14:07,fr,Twitter for iPhone,0,0,ZEvent2022,,COVID19
1544321926285361152,2022-07-05 14:06,fr,Twitter Web App,0,0,Algérie,,
1544321621837729792,2022-07-05 14:05,fr,Twitter for iPhone,0,1,multicovid,covid19,
1544320932495458305,2022-07-05 14:02,fr,Twitter Web App,1,0,Covid19,PassSanitaire,
1544320881429708807,2022-07-05 14:02,fr,Twitter for iPhone,2,0,COVID19,,
1544320775863296004,2022-07-05 14:02,fr,Twitter for Android,26,11,COVID19,,
1544320640064389122,2022-07-05 14:01,fr,Twitter for iPhone,3,1,anticiper,Covid19,
1544320489140756483,2022-07-05 14:01,fr,TweetDeck,24,28,Covid19,AFP,
1544320417606909952,2022-07-05 14:00,fr,Twitter Web App,0,1,COVID19,,4emedose
1544320190934032384,2022-07-05 14:00,fr,TweetDeck,7,9,INSEE,COVID19,
1544320074315702275,2022-07-05 13:59,fr,Twitter Web App,4,2,COVID19,,
1544320045236555780,2022-07-05 13:59,fr,Twitter for Android,0,0,COVID19,,
1544320032733384705,2022-07-05 13:59,fr,Nonli,24,23,Covid19,,
1544319929146654723,2022-07-05 13:58,fr,Wildmoka,9,6,DirectAN,COVID19,
1544319748116299779,2022-07-05 13:58,fr,Twitter for iPhone,3,3,COVID19,,
1544319545766182913,2022-07-05 13:57,fr,Wildmoka,2,2,DirectAN,COVID19,
1544319281470611456,2022-07-05 13:56,fr,Twitter Web App,0,0,COVID19,,coronavirus
1544319223060635652,2022-07-05 13:56,fr,Twitter for Android,0,0,COVID19,,Politique
1544319197345468416,2022-07-05 13:56,fr,Twitter Web App,0,0,Algérie,,
1544319019741855746,2022-07-05 13:55,fr,Twitter Web App,0,0,vaccination,,
1544318964372840448,2022-07-05 13:55,fr,Hospimedia,1,0,Covid19,,
1544318802611113985,2022-07-05 13:54,fr,Twitter for iPad,2,3,COVID19,,
1544318766649163779,2022-07-05 13:54,fr,Twitter Web App,0,0,Algérie,,
1544318513766080512,2022-07-05 13:53,fr,Twitter Web App,0,0,Algérie,,
1544318416747626497,2022-07-05 13:52,fr,Mediavenere,16,3,COVID19,,coronavirus
1544318414759628800,2022-07-05 13:52,fr,Twitter,0,0,COVID19,,coronavirus
1544318392739528706,2022-07-05 13:52,fr,TweetDeck,2057,275,COVID19,,coronavirus
1544318355351502848,2022-07-05 13:52,fr,Twitter Web App,0,0,Algérie,,
1544318314335424513,2022-07-05 13:52,fr,Twitter Web App,1,0,Azerbaïdjan,Covid19,
1544318253803126785,2022-07-05 13:52,fr,Wildmoka,5,5,DirectAN,COVID19,
1544318198312476673,2022-07-05 13:52,fr,Twitter Web App,0,0,Pfizer,,
1544318044520030211,2022-07-05 13:51,fr,Twitter for Android,3,0,cheptel,,
1544317796577845248,2022-07-05 13:50,fr,Wildmoka,14,10,COVID19,,COVID19
1544317690407534595,2022-07-05 13:50,fr,Twitter for Android,2,3,GouvernementDeLaHonte,,
1544317434471014400,2022-07-05 13:49,fr,Twitter for iPhone,0,0,ridicule,,PassVaccinal
1544317377860485124,2022-07-05 13:48,fr,Twitter Web App,2,0,FLASHINFO,Covid19,
1544317313427587074,2022-07-05 13:48,fr,Wildmoka,9,6,DirectAN,COVID19,
1544317011823661056,2022-07-05 13:47,fr,Twitter for iPhone,1,1,coronavirus,,EKHactualités
1544316873336037376,2022-07-05 13:46,fr,Twitter Web App,0,0,COVID19,,
1544316734546608128,2022-07-05 13:46,fr,Twitter for Android,0,0,COVID19,masques,
1544316409987190784,2022-07-05 13:44,fr,Twitter for Android,8,7,Covid19,,
1544316366882217991,2022-07-05 13:44,fr,Twitter for Android,0,0,vaccin,COVID19,
1544316324272283648,2022-07-05 13:44,fr,Twitter Web App,2,0,COVID19,,
1544316066700181509,2022-07-05 13:43,fr,Twitter Web App,49,43,Covid19,,
1544315980238790656,2022-07-05 13:43,fr,Twitter for Android,0,0,Covid19,,
1544315235141558272,2022-07-05 13:40,fr,Twitter for iPhone,0,0,COVID19,,
1544313912388161537,2022-07-05 13:35,fr,Twitter for Android,0,0,covid19,,
1544312867507273733,2022-07-05 13:30,fr,Twitter for Android,0,0,ÉtatUrgence,,
1544311883615830016,2022-07-05 13:26,fr,Twitter Web App,1,1,COVID19,,Québec
1544311542027780096,2022-07-05 13:25,fr,Twitter Web App,0,0,Covid19,,Covid19Test
1544311245712625665,2022-07-05 13:24,fr,Twitter for iPhone,4,0,Covid19,,
1544310878497116160,2022-07-05 13:22,fr,Buffer,2,1,Covid19,,
1544310746372349955,2022-07-05 13:22,fr,Twitter for iPhone,0,0,FDA,,
1544310520546791425,2022-07-05 13:21,fr,Twitter for Android,1,1,masque,COVID19,
1544309697100058625,2022-07-05 13:18,fr,Artur'In,0,0,AssuranceCovid,,
