id,created_at,lang,source,like,retweet,hashtags0,hashtags1,hashtags2
1543947633756147712,2022-07-04 13:19,fr,Twitter for iPhone,0,0,COVID19,,polqc
1543947515229257730,2022-07-04 13:19,fr,Twitter Web App,0,0,COVID19,été,
1543947318914867200,2022-07-04 13:18,fr,LinkedIn,0,0,SantéAuTravail,covid19,
1543947221288222721,2022-07-04 13:17,fr,Twitter Web App,0,0,GuerreCivile,,
1543946365818003458,2022-07-04 13:14,fr,Twitter for Android,0,0,Covid19,,
1543946360935927813,2022-07-04 13:14,fr,Twitter for iPhone,10,2,COVID19,BA275,
1543945966432264193,2022-07-04 13:12,fr,Twitter Web App,0,0,SARSCoV2,COVID19,
1543945784764293121,2022-07-04 13:12,fr,Twitter Web App,0,0,USCIS,COVID19,
1543945668884144128,2022-07-04 13:11,fr,Twitter Web App,1,0,COVID19,,coronavirus
1543945484859019265,2022-07-04 13:11,fr,Twitter for iPhone,0,0,Covid19,,
1543944983157276673,2022-07-04 13:09,fr,Twitter Web App,0,0,Algérie,,
1543944555422154753,2022-07-04 13:07,fr,Twitter Web App,0,0,Algérie,,
1543944536984109056,2022-07-04 13:07,fr,Twitter Web App,1,0,COVID19,,
1543943593244639232,2022-07-04 13:03,fr,Twitter Web App,0,0,Algérie,,
1543943438541983744,2022-07-04 13:02,fr,Artur'In,0,0,Vaccination,,
1543943031358881792,2022-07-04 13:01,fr,Hootsuite Inc.,0,0,Vaccination,COVID19,
1543942946881511427,2022-07-04 13:00,fr,Hootsuite Inc.,0,0,prevention,,covid19
1543942714160742400,2022-07-04 13:00,fr,Twitter Web App,0,0,GuerreCivil2022,,
1543941997278412802,2022-07-04 12:57,fr,Hootsuite Inc.,1,1,COVID19,,
1543941786099486722,2022-07-04 12:56,fr,Twitter Web App,0,0,Algérie,,
1543941444817264641,2022-07-04 12:55,fr,Swello,0,0,Covid19,,
1543939991830757378,2022-07-04 12:49,fr,Twitter Web App,0,0,COVID19,,
1543939323363573760,2022-07-04 12:46,fr,Twitter Web App,1,0,Covid19,FFP2,
1543938625188122627,2022-07-04 12:43,fr,Twitter for iPhone,0,0,antivax,,IVG
1543938517885243393,2022-07-04 12:43,fr,Twitter for Android,1,0,COVID19,Chine,
1543938501971959808,2022-07-04 12:43,fr,Twitter for iPhone,23,2,COVID19,,
1543938458145751041,2022-07-04 12:43,fr,Twitter for Android,0,0,COVID19,Chine,
1543938059191943170,2022-07-04 12:41,fr,Revive Social App,0,0,leparisien,covid19,
1543937819227394048,2022-07-04 12:40,fr,Twitter Web App,0,0,Algérie,,
1543937635189723137,2022-07-04 12:39,fr,Twitter Web App,0,0,Inflaton,,
1543937546022969344,2022-07-04 12:39,fr,Twitter Web App,0,0,DroitSocial,,
1543937536900435968,2022-07-04 12:39,fr,Twitter Web App,4,6,violences,COVID19,
1543937437340237824,2022-07-04 12:39,fr,Twitter for iPhone,0,0,COVID19,,
1543937286563323904,2022-07-04 12:38,fr,Twitter Web App,0,0,Algérie,,
1543937172952186880,2022-07-04 12:38,fr,Twitter Web App,3,1,Covid19,,
1543937147195072512,2022-07-04 12:37,fr,Twitter for Android,1,0,COVID19,,Vaccin
1543937120745799682,2022-07-04 12:37,fr,Twitter Web App,0,0,Algérie,,
1543937052504477698,2022-07-04 12:37,fr,Twitter Web App,6,2,Veran,COVID19,
1543935975428087809,2022-07-04 12:33,fr,Twitter Web App,0,0,Algérie,,
1543935930968543232,2022-07-04 12:33,fr,L'important,11,4,Covid19,,
1543935887402229760,2022-07-04 12:32,fr,Twitter Web App,0,0,Algérie,,
1543935879705546752,2022-07-04 12:32,fr,Twitter for Android,2,0,COVID19,,
1543935872080306176,2022-07-04 12:32,fr,Twitter for iPhone,1,0,COVID19,Veran,
1543935859124277248,2022-07-04 12:32,fr,Twitter for iPhone,0,0,covidlong,,monkeypox
1543935585382981632,2022-07-04 12:31,fr,Twitter Web App,0,0,Covid19,,
1543935349759655937,2022-07-04 12:30,fr,Twitter for iPhone,1,0,macron,covid19,
1543935186978672640,2022-07-04 12:30,fr,Twitter Web App,0,0,Algérie,,
1543934927351201795,2022-07-04 12:29,fr,Twitter Web App,0,0,COVID19,COVID19france,
1543934850658344960,2022-07-04 12:28,fr,Twitter Web App,0,0,COVID19,ODD,
1543934770719195136,2022-07-04 12:28,fr,Twitter Web App,0,0,covid19,,
1543934490866851843,2022-07-04 12:27,fr,Twitter Web App,0,0,Pfizer,COVID19,
1543934442561044485,2022-07-04 12:27,fr,Twitter for Android,1,0,COVID19,,
1543933840565075970,2022-07-04 12:24,fr,Twitter for iPhone,1,0,covid19,,
1543933382442237952,2022-07-04 12:22,fr,Paper.li,0,0,tourisme,covid19,
1543933240234369024,2022-07-04 12:22,fr,Twitter for iPhone,0,0,COVID19,,
1543933081987518466,2022-07-04 12:21,fr,Twitter for iPhone,1,1,Covid19,,
1543932886650392576,2022-07-04 12:20,fr,Twitter Web App,0,0,Algérie,,
1543932829159112710,2022-07-04 12:20,fr,Twitter for iPad,0,0,COVID19,,
1543932418167828481,2022-07-04 12:19,fr,Twitter for iPad,0,0,COVID19,,
1543931981309919234,2022-07-04 12:17,fr,Twitter Web App,2,0,COVID19,,
1543931916814110723,2022-07-04 12:17,fr,Twitter Web App,1,1,COVID19,,
1543931364038393859,2022-07-04 12:14,fr,Twitter Web App,2,1,Veran,COVID19,
1543930188832116736,2022-07-04 12:10,fr,Twitter Web App,0,0,Sante,,ClermontFerrand
1543928621051613184,2022-07-04 12:04,fr,Twitter for iPhone,3,1,COVID19,,
1543928503338471425,2022-07-04 12:03,fr,Twitter for iPhone,0,0,covid19,,
1543928445427752961,2022-07-04 12:03,fr,Twitter for iPhone,0,0,COVID19,7eVague,
