id,created_at,lang,source,like,retweet,hashtags0,hashtags1,hashtags2
1544319545766182913,2022-07-05 13:57,fr,Wildmoka,0,1,DirectAN,COVID19,
1544319281470611456,2022-07-05 13:56,fr,Twitter Web App,0,0,COVID19,,coronavirus
1544319223060635652,2022-07-05 13:56,fr,Twitter for Android,0,0,COVID19,,Politique
1544319197345468416,2022-07-05 13:56,fr,Twitter Web App,0,0,Algérie,,
1544319019741855746,2022-07-05 13:55,fr,Twitter Web App,0,0,vaccination,,
1544318964372840448,2022-07-05 13:55,fr,Hospimedia,1,0,Covid19,,
1544318802611113985,2022-07-05 13:54,fr,Twitter for iPad,0,0,COVID19,,
1544318766649163779,2022-07-05 13:54,fr,Twitter Web App,0,0,Algérie,,
1544318513766080512,2022-07-05 13:53,fr,Twitter Web App,0,0,Algérie,,
1544318416747626497,2022-07-05 13:52,fr,Mediavenere,6,1,COVID19,,coronavirus
1544318414759628800,2022-07-05 13:52,fr,Twitter,0,0,COVID19,,coronavirus
1544318392739528706,2022-07-05 13:52,fr,TweetDeck,537,99,COVID19,,coronavirus
1544318355351502848,2022-07-05 13:52,fr,Twitter Web App,0,0,Algérie,,
1544318314335424513,2022-07-05 13:52,fr,Twitter Web App,0,0,Azerbaïdjan,Covid19,
1544318253803126785,2022-07-05 13:52,fr,Wildmoka,2,2,DirectAN,COVID19,
1544318198312476673,2022-07-05 13:52,fr,Twitter Web App,0,0,Pfizer,,
1544318044520030211,2022-07-05 13:51,fr,Twitter for Android,2,0,cheptel,,
1544317796577845248,2022-07-05 13:50,fr,Wildmoka,4,1,COVID19,,COVID19
1544317690407534595,2022-07-05 13:50,fr,Twitter for Android,1,2,GouvernementDeLaHonte,,
1544317434471014400,2022-07-05 13:49,fr,Twitter for iPhone,0,0,ridicule,,PassVaccinal
1544317377860485124,2022-07-05 13:48,fr,Twitter Web App,2,0,FLASHINFO,Covid19,
1544317313427587074,2022-07-05 13:48,fr,Wildmoka,7,5,DirectAN,COVID19,
1544317011823661056,2022-07-05 13:47,fr,Twitter for iPhone,1,1,coronavirus,,EKHactualités
1544316873336037376,2022-07-05 13:46,fr,Twitter Web App,0,0,COVID19,,
1544316734546608128,2022-07-05 13:46,fr,Twitter for Android,0,0,COVID19,masques,
1544316409987190784,2022-07-05 13:44,fr,Twitter for Android,4,5,Covid19,,
1544316366882217991,2022-07-05 13:44,fr,Twitter for Android,0,0,vaccin,COVID19,
1544316324272283648,2022-07-05 13:44,fr,Twitter Web App,2,0,COVID19,,
1544316066700181509,2022-07-05 13:43,fr,Twitter Web App,30,18,Covid19,,
1544315980238790656,2022-07-05 13:43,fr,Twitter for Android,0,0,Covid19,,
1544315235141558272,2022-07-05 13:40,fr,Twitter for iPhone,0,0,COVID19,,
1544313912388161537,2022-07-05 13:35,fr,Twitter for Android,0,0,covid19,,
1544312867507273733,2022-07-05 13:30,fr,Twitter for Android,0,0,ÉtatUrgence,,
1544311883615830016,2022-07-05 13:26,fr,Twitter Web App,1,1,COVID19,,Québec
1544311542027780096,2022-07-05 13:25,fr,Twitter Web App,0,0,Covid19,,Covid19Test
1544311245712625665,2022-07-05 13:24,fr,Twitter for iPhone,4,0,Covid19,,
1544310878497116160,2022-07-05 13:22,fr,Buffer,1,1,Covid19,,
1544310746372349955,2022-07-05 13:22,fr,Twitter for iPhone,0,0,FDA,,
1544310520546791425,2022-07-05 13:21,fr,Twitter for Android,1,1,masque,COVID19,
1544309697100058625,2022-07-05 13:18,fr,Artur'In,0,0,AssuranceCovid,,
1544309466065256448,2022-07-05 13:17,fr,Twitter Web App,6,4,Covid19,,
1544309295084453888,2022-07-05 13:16,fr,Twitter for Android,1,1,gouvernement,,
1544308727125245954,2022-07-05 13:14,fr,Twitter for Android,3,0,Masque,COVID19,
1544308617985269761,2022-07-05 13:14,fr,Twitter for Android,0,0,COVID19,Veran,
1544308303869923328,2022-07-05 13:12,fr,Twitter Web App,2,0,COVID19,,
1544308012193460224,2022-07-05 13:11,fr,Twitter for iPhone,3,2,confinement,,
1544307855402090496,2022-07-05 13:10,fr,Twitter for Android,1,0,Macron,,
1544307833604390912,2022-07-05 13:10,fr,Twitter Web App,1,0,COVID19,,
1544307609074892800,2022-07-05 13:10,fr,Twitter for Android,1,0,COVID19,,
1544307248826048512,2022-07-05 13:08,fr,Twitter Web App,2,2,LesCitationsDeMonCru,,
1544307220581597184,2022-07-05 13:08,fr,Twitter for Android,2,2,Covid_19,,
1544307179460726785,2022-07-05 13:08,fr,Twitter for Android,3,3,Covid19,,TousAntiCovid
1544306974430478336,2022-07-05 13:07,fr,Twitter for Android,0,0,mémoire,COVID19,
1544306927823474690,2022-07-05 13:07,fr,Echobox,8,1,Covid19,,
1544306885704269824,2022-07-05 13:07,fr,Twitter Web App,0,0,Covid19,,
1544306699489656835,2022-07-05 13:06,fr,Twitter Web App,0,0,COVID19,,
1544305724838264833,2022-07-05 13:02,fr,TweetDeck,5,0,COVID19,coronavirus,
1544305364526440448,2022-07-05 13:01,fr,dlvr.it,1,0,Alaune,,
1544305258284961792,2022-07-05 13:00,fr,Hootsuite Inc.,1,3,gestesbarrieres,covid19,
1544305227062546432,2022-07-05 13:00,fr,Hootsuite Inc.,1,0,Covid19,,
1544305196813225984,2022-07-05 13:00,fr,Agorapulse app,0,0,Covid19,,
1544304800338251776,2022-07-05 12:58,fr,Twitter for Android,1,0,COVID19,,
1544304278596190211,2022-07-05 12:56,fr,Twitter Web App,0,0,COVID19,,
1544304096798068736,2022-07-05 12:56,fr,"Cheap Bots, Done Quick!",1,0,France,Covid19,
1544303584271024129,2022-07-05 12:54,fr,Twitter Web App,1,0,Covid19,,
1544303204665626626,2022-07-05 12:52,fr,TweetDeck,0,0,vaccination,,
1544302184233312258,2022-07-05 12:48,fr,Echobox,2,0,Covid19,,
1544302054851723267,2022-07-05 12:47,fr,Twitter Web App,0,0,COVID19,,
1544301659026853890,2022-07-05 12:46,fr,Twitter for Android,2,1,Santé,,
1544301415073447937,2022-07-05 12:45,fr,Twitter for iPhone,3,2,COVID19,,masque
1544301000000999427,2022-07-05 12:43,fr,Twitter for iPad,0,0,France,,
1544300410889961474,2022-07-05 12:41,fr,Twitter for iPad,0,0,ivm,covid19,
1544300101786648577,2022-07-05 12:40,fr,Twitter for iPhone,0,0,EffetsSecondairesVaccins,COVID19,
1544299836211601409,2022-07-05 12:39,fr,Twitter for iPad,1,1,France,,
1544299765143425027,2022-07-05 12:38,fr,Twitter for iPhone,2,2,Covid19,,
1544299697329917953,2022-07-05 12:38,fr,Twitter Web App,0,0,COVID19,,
1544299289593217024,2022-07-05 12:36,fr,Twitter Web App,1,0,covid19,,
1544299131371671553,2022-07-05 12:36,fr,Twitter Web App,0,1,vagues,,
1544298871890874368,2022-07-05 12:35,fr,Twitter Web App,0,0,études,,covid19
1544298747252953088,2022-07-05 12:34,fr,Twitter Web App,0,0,études,,covid19
1544298132598624256,2022-07-05 12:32,fr,Twitter Web App,0,0,ARS,COVID19,
1544298043234783234,2022-07-05 12:31,fr,Twitter for iPhone,3,3,Covid19,BFMTV,
1544298000842907649,2022-07-05 12:31,fr,Twitter for Android,0,0,BAC2022,COVID19,
1544297894198611969,2022-07-05 12:31,fr,Twitter Web App,0,0,Medecine,,
1544297553184919553,2022-07-05 12:30,fr,Twitter Web App,0,0,CoquerelDemission,,
1544296817537449986,2022-07-05 12:27,fr,Twitter for iPhone,2,2,CDC,,
1544296480055431168,2022-07-05 12:25,fr,Twitter for Advertisers,4,2,AllerVers,,Covid19
1544295919591559170,2022-07-05 12:23,fr,Twitter Web App,0,0,Suède,,
1544295772363046914,2022-07-05 12:22,fr,Paper.li,0,0,tourisme,covid19,
1544295511364083713,2022-07-05 12:21,fr,Twitter Web App,0,0,COVID19,,
1544295217326604288,2022-07-05 12:20,fr,Twitter Web App,0,0,COVID19,,
1544295123969875968,2022-07-05 12:20,fr,Twitter for Android,0,0,Russian,,Nfts
1544295053694324736,2022-07-05 12:20,fr,Echobox,6,5,Covid19,,
1544293925380390912,2022-07-05 12:15,fr,Twitter for iPhone,6,0,COVID19,,
1544293200189341698,2022-07-05 12:12,fr,Twitter for iPhone,0,0,masque,COVID19,
1544292546632978432,2022-07-05 12:10,fr,Twitter Web App,0,0,mensonge19,,
1544292132868988928,2022-07-05 12:08,fr,Twitter Web App,0,0,COVID19,Luxembourg,
1544291991978233856,2022-07-05 12:07,fr,Twitter Web App,0,0,Macron,,COVID19
1544291938022686722,2022-07-05 12:07,fr,Twitter Web App,0,0,COVID19,,
1544291931165007880,2022-07-05 12:07,fr,Twitter Web App,0,0,Macron,,COVID19
